,participantID,trial,RT
0,s2,1,0.433093893
1,s2,2,0.392526034
2,s2,3,0.396830804
3,s2,4,0.417987737
4,s2,5,0.371810078
5,s2,6,0.659228422
6,s2,7,0.411051235
7,s2,8,0.409580168
8,s2,9,0.486828076
9,s2,10,0.468912134
0,s3,1,0.322098869
1,s3,2,0.396105925
2,s3,3,0.38429683
3,s3,4,0.36452361
4,s3,5,0.45407516
5,s3,6,0.494156333
6,s3,7,0.492786617
7,s3,8,0.50683596
8,s3,9,0.340722383
9,s3,10,0.704491148
0,s1,1,0.508971072
1,s1,2,0.389857974
2,s1,3,0.404175466
3,s1,4,0.269520309
4,s1,5,0.437764713
5,s1,6,0.368141756
6,s1,7,0.400544278
7,s1,8,0.335198066
8,s1,9,0.341722042
9,s1,10,0.439583357
